"Code
Word","Size
(AWGor
kcmil)","Strand-
ing
(Al/Stl)",Diameter(ins.),Unnamed: 4,Unnamed: 5,Unnamed: 6,WeightPer1000ft.(lbs.),Unnamed: 8,Unnamed: 9,Content(%),Unnamed: 11,"Rated
Strength
(lbs.)","Resistance
OHMS/1000ft.",Unnamed: 14,"Allowable
Ampacity+
(Amps)"
,,,IndividualWires,,"Steel
Core","Complete
Cable",Al,Stl,Total,Al,Stl,,"DC@
20°C","AC@
75°C",
,,,Al,Stl,,,,,,,,,,,
Swan,4,6/1,0.0834,0.0834,,0.2500,39,16,55,,,1780,0.3917,0.4770,145
Swanate,4,7/1,0.0772,0.1030,,0.2570,39,24,63,,,2280,0.3814,0.4642,148
Sparrow,2,6/1,0.1052,0.1052,,0.3160,62,25,87,,,2760,0.2462,0.2997,194
Sparate,2,7/1,0.0974,0.1298,,0.3250,62,38,100,,,3510,0.2396,0.2917,198
Robin,1,6/1,0.1181,0.1181,,0.3540,78,31,109,,,3450,0.1950,0.2373,225
Raven,1/0,6/1,0.1327,0.1327,,0.3980,99,39,138,,,4250,0.1547,0.1884,260
Quail,2/0,6/1,0.1489,0.1489,,0.4470,124,50,174,,,5130,0.1227,0.1494,301
Pigeon,3/0,6/1,0.1672,0.1672,,0.5020,156,63,219,,,6300,0.09747,0.1188,347
Penguin,4/0,6/1,0.1878,0.1878,,0.5630,197,79,277,,,7690,0.07726,0.09422,402
Waxwing,266.8,18/1,0.1217,0.1217,,0.6090,250,33,283,,,6820,0.06364,0.07776,451
Partridge,266.8,26/7,0.1013,0.0788,,0.2363,251,98,349,,,10800,0.06169,0.07541,465
Ostrich,300.0,26/7,0.1074,0.0835,,0.2506,283,110,393,,,12100,0.05489,0.06712,500
Merlin,336.4,18/1,0.1367,0.1367,,0.6840,315,42,357,,,8540,0.05044,0.06175,522
Linnet,336.4,26/7,0.1137,0.0885,,0.2654,317,123,440,,,13500,0.04897,0.05989,537
Oriole,336.4,30/7,0.1059,0.1059,,0.3177,318,177,494,,,16700,0.04795,0.05861,547
Chickadee,397.5,18/1,0.1486,0.1486,,0.7430,373,50,422,,,9780,0.04268,0.05230,580
Brant,397.5,24/7,0.1287,0.0858,,0.2574,374,116,490,,,14100,0.04185,0.05124,592
Ibis,397.5,26/7,0.1236,0.0962,,0.2885,374,146,520,,,15800,0.04144,0.05072,597
Lark,397.5,30/7,0.1151,0.1151,,0.3453,375,209,584,,,19600,0.04059,0.04965,608
Pelican,477,18/1,0.1628,0.1628,,0.8140,447,59,507,,,11500,0.03556,0.04344,651
Flicker,477,24/7,0.1410,0.0940,,0.2819,449,139,589,,,16700,0.03487,0.04273,663
Hawk,477.0,26/7,0.1354,0.1053,,0.3160,449,175,624,,,18900,0.03453,0.04231,669
Hen,477.0,30/7,0.1261,0.1261,,0.3783,450,251,701,,,23400,0.03382,0.04139,682
Osprey,556.5,18/1,0.1758,0.1758,,0.8790,522,69,591,,,13200,0.03050,0.03749,715
Parakeet,556.5,24/7,0.1523,0.1015,,0.3045,524,163,687,,,19300,0.02989,0.03667,731
Dove,556.5,26/7,0.1463,0.1138,,0.3413,524,204,728,,,21900,0.02958,0.03627,737
Eagle,556.5,30/7,0.1362,0.1362,,0.4086,525,293,818,,,26800,0.02899,0.03551,751
Peacock,605.0,24/7,0.1588,0.1058,,0.3175,570,177,746,,,21000,0.02749,0.03377,770
Squab,605.0,26/7,0.1525,0.1186,,0.3559,570,222,792,,,23600,0.02588,0.03341,777
Teal,605.0,30/19,0.1420,0.0852,,0.4260,571,311,883,,,28500,0.02672,0.03274,791
Kingbird,636.0,18/1,0.1880,0.1880,,0.9400,596,79,675,,,15000,0.02667,0.03286,778
Rook,636.0,24/7,0.1628,0.1085,,0.3256,599,186,785,,,22000,0.02616,0.03216,794
Grosbeak,636.0,26/7,0.1564,0.1216,,0.3649,599,233,832,,,24800,0.02588,0.03179,801
Flamingo,666.6,24/7,0.1667,0.1111,,0.3333,628,195,823,,,23100,0.02495,0.03069,818
Gannet,666.6,26/7,0.1601,0.1245,,0.3736,628,245,872,,,26000,0.02470,0.03034,825
Starling,715.5,26/7,0.1659,0.1290,,0.3871,674,263,936,,,27500,0.02300,0.02830,863
Redwing,715.5,30/19,0.1544,0.0927,,0.4633,676,368,1044,,,33400,0.02260,0.02777,878
Cuckoo,795.0,24/7,0.1820,0.1213,,0.3640,749,232,981,,,27500,0.02093,0.02582,913
Drake,795.0,26/7,0.1749,0.1360,,0.4080,749,292,1040,,,30500,0.02070,0.02549,922
Tern,795.0,45/7,0.1329,0.0886,,0.2658,749,124,873,,,21500,0.02135,0.02638,896
Condor,795.0,54/7,0.1213,0.1213,,0.3640,749,232,981,,,27800,0.02091,0.02578,913
Mallard,795.0,30/19,0.1628,0.0977,,0.4884,751,409,1160,,,37100,0.02033,0.02500,938
Ruddy,900.0,45/7,0.1414,0.0943,,0.2828,848,140,988,,,24000,0.01886,0.02330,970
Canary,900.0,54/7,0.1291,0.1291,,0.3873,848,263,1111,,,31000,0.01849,0.02286,986
Rail,954.0,45/7,0.1456,0.0971,,0.2912,899,149,1047,,,25400,0.01779,0.02210,1003
Cardinal,954.0,54/7,0.1329,0.1329,,0.3987,899,279,1177,,,32900,0.01744,0.02161,1022
Ortolan,1033.5,45/7,0.1515,0.1010,,0.3031,973,161,1134,,,27200,0.01641,0.02044,1054
Curlew,1033.5,54/7,0.1383,0.1383,,0.4150,973,302,1275,,,35200,0.01609,0.01997,1074
Bluejay,1113.0,45/7,0.1573,0.1048,,0.3145,1048,173,1222,,,29300,0.01606,0.01905,1103
Pheasant,1272.0,54/19,0.1535,0.0921,,0.4604,1204,364,1568,,,42400,0.01315,0.01646,1216
Bobolink,1431.0,45/7,0.1783,0.1189,,0.3566,1348,223,1571,,,37600,0.01186,0.01503,1283
Lapwing,1590.0,45/7,0.1880,0.1253,,0.3759,1498,248,1745,,,41800,0.01069,0.01366,1365
