"Code
Word","Size
(AWGor
kcmil)","Strand-
ing
(Al/Stl)",Diameter(ins.),Unnamed: 4,Unnamed: 5,Unnamed: 6,WeightPer1000ft.(lbs.),Unnamed: 8,Unnamed: 9,Content(%),Unnamed: 11,"Rated
Strength
(lbs.)","Resistance
OHMS/1000ft.",Unnamed: 14,"Allowable
Ampacity+
(Amps)"
,,,IndividualWires,,"Steel
Core","Complete
Cable",Al,Stl,Total,Al,Stl,,"DC@
20°C","AC@
75°C",
,,,Al,Stl,,,,,,,,,,,
Partridge,266.8,26/7,0.1013,0.0788,,0.2363,251.3,115.5,366.8,,,8880,.0619,.0761,812
Junco,266.8,30/7,0.0943,0.0943,,0.2829,251.9,165.5,417.4,,,11700,.0615,.0756,822
Ostrich,300.0,26/7,0.1074,0.0835,,0.2506,282.6,129.9,412.5,,,10000,.0551,.0677,877
Linnet,336.4,26/7,0.1137,0.0885,,0.2654,316.8,145.7,462.5,,,11200,.0491,.0604,945
Oriole,336.4,30/7,0.1059,0.1059,,0.3177,317.6,208.7,526.3,,,14800,.0488,.0600,957
Brant,397.5,24/7,0.1287,0.0858,,0.2574,374.4,137.0,511.4,,,11000,.0417,.0514,1047
Ibis,397.5,26/7,0.1236,0.0962,,0.2885,374.4,172.1,546.5,,,13000,.0416,.0512,1054
Lark,397.5,30/7,0.1151,0.1151,,0.3453,375.3,246.5,621.8,,,17500,.0413,.0508,1068
Flicker,447,24/7,0.1410,0.0940,,0.2819,449.3,164.4,613.7,,,13000,.0348,.0429,1180
Hawk,447,26/7,0.1354,0.1053,,0.3160,449.3,206.5,655.8,,,15600,.0346,.0427,1188
Hen,447,30/7,0.1261,0.1261,,0.3783,450.4,295.9,746.3,,,21000,.0344,.0424,1204
Parakeet,556.5,24/7,0.1523,0.1015,,0.3045,524.0,192.0,716.0,,,15200,.0298,.0368,1306
Dove,556.5,26/7,0.1463,0.1138,,0.3413,524.2,240.9,765.1,,,18200,.0297,.0366,1315
Eagle,556.5,30/7,0.1362,0.1362,,0.4086,525.4,345.2,870.6,,,24500,.0295,.0363,1331
Peacock,605,24/7,0.1588,0.1058,,0.3175,569.8,208.5,778.3,,,16500,.0274,.0339,1379
Squab,605,26/7,0.1525,0.1186,,0.3559,569.8,261.9,831.7,,,19700,.0273,.0337,1389
Wood,Duck/ACSS,605,30/7,0.1420,,0.1420,0.994,571.2,375.3,,,946.5,33300,.0271,.0334
Teal,605,30/19,0.1420,0.0852,,0.4260,571.2,367.4,938.6,,,26600,.0272,.0335,1406
Rook,636,24/7,0.1628,0.1085,,0.3256,599.0,219.2,818.2,,,17300,.0261,.0322,1425
Grosbeak,636,26/7,0.1564,0.1216,,0.3649,599.0,275.4,874.4,,,20700,.0260,.0321,1435
Scoter,636,30/7,0.1456,0.1456,,0.4368,600.5,394.5,995.0,,,27400,.0258,.0318,1454
Egret,636,30/19,0.1456,0.0874,,0.4368,600.5,386.3,986.8,,,28000,.0258,.0319,1453
Flamingo,666.6,24/7,0.1667,0.1111,,0.3333,627.9,229.7,857.6,,,18200,.0249,.0308,1470
Gannet,666.6,26/7,0.1601,0.1245,,0.3736,627.8,288.6,916.4,,,21700,.0248,.0306,1480
Stilt,715.5,24/7,0.1727,0.1151,,0.3453,673.9,246.5,920.4,,,19500,.0232,.0287,1540
Starling,715.5,26/7,0.1659,0.1290,,0.3871,673.9,309.8,983.7,,,23300,.0231,.0286,1550
Redwing,715.5,30/19,0.1544,0.0927,,0.4633,675.6,434.6,1110.2,,,30800,.0230,.0284,1570
Cuckoo,795,24/7,0.1820,0.1213,,0.3640,748.8,274.0,1022.8,,,21700,.0209,.0259,1650
Drake,795,26/7,0.1749,0.1360,,0.4080,748.8,344.2,1093.0,,,25900,.0209,.0257,1662
Macaw,795,42/7,0.1376,0.0764,,0.2293,748.8,108.7,857.5,,,11800,.0211,.0262,1621
Tern,795,45/7,0.1329,0.0886,,0.2658,748.8,146.1,894.9,,,14200,.0210,.0263,1618
Condor,795,54/7,0.1213,0.1213,,0.3640,748.8,274.0,1022.8,,,21700,.0209,.0266,1618
Mallard,795,30/19,0.1628,0.0977,,0.4884,750.6,482.8,1233.4,,,34300,.0207,.0255,1683
Ruddy,900,45/7,0.1414,0.0943,,0.2828,847.7,165.4,1012.1,,,15800,.0186,.0233,1755
Canary,900,54/7,0.1291,0.1291,,0.3873,847.7,310.1,1157.8,,,24600,.0184,.0236,1756
Redbird,954,24/7,0.1994,0.1329,,0.3987,898.5,328.7,1227.2,,,26000,.0174,.0217,1859
Rail,954,45/7,0.1456,0.0971,,0.2912,898.5,175.3,1073.8,,,16700,.0175,.0220,1824
